Frequency,S11_g,S21_g
3,-14.15333802,-0.195550759
3.025,-14.16523097,-0.195272912
3.05,-14.17918426,-0.194915336
3.075,-14.19522512,-0.194477771
3.1,-14.2133825,-0.193960024
3.125,-14.23368723,-0.193361966
3.15,-14.25617206,-0.192683536
3.175,-14.28087172,-0.191924743
3.2,-14.30782307,-0.191085667
3.225,-14.33706511,-0.19016646
3.25,-14.36863918,-0.189167349
3.275,-14.402589,-0.188088639
3.3,-14.4389608,-0.186930713
3.325,-14.47780348,-0.185694035
3.35,-14.51916872,-0.18437915
3.375,-14.56311113,-0.18298669
3.4,-14.60968843,-0.181517372
3.425,-14.6589616,-0.179972003
3.45,-14.71099508,-0.178351481
3.475,-14.76585695,-0.176656795
3.5,-14.82361919,-0.174889033
3.525,-14.88435788,-0.173049378
3.55,-14.94815347,-0.171139113
3.575,-15.01509103,-0.169159625
3.6,-15.0852606,-0.167112403
3.625,-15.15875747,-0.164999044
3.65,-15.23568256,-0.162821256
3.675,-15.3161428,-0.160580855
3.7,-15.40025153,-0.158279774
3.725,-15.48812898,-0.155920063
3.75,-15.57990278,-0.153503888
3.775,-15.67570847,-0.15103354
3.8,-15.77569012,-0.148511433
3.825,-15.88000099,-0.145940107
3.85,-15.98880424,-0.143322233
3.875,-16.10227372,-0.140660614
3.9,-16.22059485,-0.137958186
3.925,-16.34396555,-0.135218024
3.95,-16.47259733,-0.132443342
3.975,-16.60671643,-0.129637498
4,-16.7465651,-0.126803995
4.025,-16.89240305,-0.123946483
4.05,-17.04450901,-0.121068765
4.075,-17.20318246,-0.118174795
4.1,-17.36874561,-0.115268684
4.125,-17.54154547,-0.112354703
4.15,-17.72195629,-0.109437283
4.175,-17.91038217,-0.10652102
4.2,-18.10725997,-0.103610676
4.225,-18.31306252,-0.100711182
4.25,-18.52830219,-0.09782764
4.275,-18.75353471,-0.094965329
4.3,-18.98936346,-0.092129701
4.325,-19.23644394,-0.089326389
4.35,-19.49548866,-0.086561206
4.375,-19.76727206,-0.083840149
4.4,-20.05263553,-0.081169399
4.425,-20.35249207,-0.078555325
4.45,-20.66783012,-0.076004487
4.475,-20.99971575,-0.073523634
4.5,-21.3492919,-0.071119707
4.525,-21.71777269,-0.068799842
4.55,-22.10642949,-0.066571371
4.575,-22.51656384,-0.064441822
4.6,-22.94945944,-0.06241892
4.625,-23.40630094,-0.060510591
4.65,-23.88804104,-0.058724957
4.675,-24.39518685,-0.057070342
4.7,-24.92746293,-0.055555267
4.725,-25.48328857,-0.054188457
4.75,-26.05898658,-0.052978832
4.775,-26.6476292,-0.051935513
4.8,-27.23745792,-0.051067821
4.825,-27.80996094,-0.05038527
4.85,-28.33807481,-0.049897573
4.875,-28.78568499,-0.049614635
4.9,-29.11038092,-0.049546554
4.925,-29.27120115,-0.049703617
4.95,-29.24036496,-0.050096296
4.975,-29.01345363,-0.05073525
5,-28.61119157,-0.051631315
5.025,-28.07148512,-0.052795504
5.05,-27.43739992,-0.054239001
5.075,-26.74773248,-0.055973159
5.1,-26.03268639,-0.05800949
5.125,-25.31351454,-0.060359663
5.15,-24.60405285,-0.063035497
5.175,-23.91268163,-0.066048953
5.2,-23.24404383,-0.06941213
5.225,-22.60034029,-0.073137254
5.25,-21.98223341,-0.077236672
5.275,-21.38945047,-0.081722842
5.3,-20.82117546,-0.086608326
5.325,-20.2762988,-0.091905779
5.35,-19.75357373,-0.097627936
5.375,-19.25171246,-0.103787609
5.4,-18.76944381,-0.110397668
5.425,-18.30554631,-0.117471035
5.45,-17.85886587,-0.125020668
5.475,-17.42832384,-0.13305955
5.5,-17.01291912,-0.141600678
5.525,-16.61172683,-0.150657045
5.55,-16.22389485,-0.160241632
5.575,-15.8486394,-0.170367387
5.6,-15.48524006,-0.181047216
5.625,-15.1330348,-0.192293965
5.65,-14.79141504,-0.204120405
5.675,-14.45982097,-0.216539216
5.7,-14.13773726,-0.229562973
5.725,-13.82468902,-0.243204128
5.75,-13.52023811,-0.257474991
5.775,-13.22397985,-0.272387719
5.8,-12.93553995,-0.287954297
5.825,-12.65457178,-0.304186518
5.85,-12.3807539,-0.32109597
5.875,-12.11378782,-0.338694018
5.9,-11.85339597,-0.356991785
5.925,-11.5993199,-0.37600014
5.95,-11.35131862,-0.395729678
5.975,-11.10916709,-0.416190701
6,-10.87265492,-0.43739321
6.025,-10.64158511,-0.459346882
6.05,-10.41577297,-0.482061056
6.075,-10.19504509,-0.505544722
6.1,-9.979238447,-0.5298065
6.125,-9.768199567,-0.554854632
6.15,-9.561783774,-0.580696966
6.175,-9.359854494,-0.607340942
6.2,-9.162282629,-0.634793583
6.225,-8.968945981,-0.663061482
6.25,-8.779728723,-0.69215079
6.275,-8.594520918,-0.722067209
6.3,-8.413218077,-0.752815982
6.325,-8.235720751,-0.784401884
6.35,-8.061934162,-0.816829215
6.375,-7.891767853,-0.850101799
6.4,-7.72513538,-0.884222969
6.425,-7.561954017,-0.919195573
6.45,-7.402144491,-0.955021963
6.475,-7.245630733,-0.991704
6.5,-7.092339654,-1.029243046
6.525,-6.942200932,-1.06763997
6.55,-6.795146822,-1.106895145
6.575,-6.651111977,-1.147008453
6.6,-6.510033282,-1.187979286
6.625,-6.371849703,-1.229806551
6.65,-6.236502149,-1.272488677
6.675,-6.103933342,-1.316023618
6.7,-5.974087696,-1.360408863
6.725,-5.846911214,-1.405641442
6.75,-5.722351377,-1.451717936
6.775,-5.600357063,-1.498634489
6.8,-5.480878454,-1.546386814
6.825,-5.363866959,-1.59497021
6.85,-5.249275146,-1.644379568
6.875,-5.13705667,-1.694609391
6.9,-5.027166219,-1.745653801
6.925,-4.919559456,-1.797506559
6.95,-4.814192968,-1.850161075
6.975,-4.711024224,-1.903610427
7,-4.610011527,-1.957847372
